"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3220000","3220000-102-1968-04226","19911230","","03","폐업","02","폐업","20081204","","","","02 5671223","115.69","135935","서울특별시 강남구 역삼동 826-36번지 ","","","서울인서울","2004-06-29 00:00:00","I","2018-08-31 23:59:59.0","카바레","202628.563346766    ","443736.233740028    ","카바레","2","4","유흥업소밀집지역","자율","상수도전용","","","","","","","","","N","115.69","","",""
"3220000","3220000-102-1975-04326","19750402","","03","폐업","02","폐업","20090810","","","","02 5012787","323.56","135933","서울특별시 강남구 역삼동 823-35번지 (94.7.20대치동911-8 에서이전) ","","","그네","2008-04-01 15:28:04","I","2018-08-31 23:59:59.0","룸살롱","202840.283264361    ","443954.934815307    ","룸살롱","","","","","","","","","","","","","","N","323.56","","",""
"3220000","3220000-102-1976-04321","19760110","","01","영업/정상","01","영업","","","","","02 5425110","222.59","135887","서울특별시 강남구 신사동 514-15번지 ","서울특별시 강남구 도산대로 123 (신사동)","06035","준코뮤직타운 신사점","2018-04-12 10:35:29","I","2018-08-31 23:59:59.0","카바레","201864.398628378    ","446138.700257806    ","카바레","","","","","","","","","","","","","","N","222.59","","",""
"3220000","3220000-102-1976-04402","19761220","","03","폐업","02","폐업","20040519","","","","02 5456067","463.98","135887","서울특별시 강남구 신사동 502-11번지 .12 ","","","금강산회관","2002-04-22 00:00:00","I","2018-08-31 23:59:59.0","카바레","201684.704785227    ","446105.858997581    ","카바레","0","0","유흥업소밀집지역","지도","상수도전용","","","","","","","","","N","463.98","","",""
"3220000","3220000-102-1976-04409","19760705","","03","폐업","02","폐업","20120925","","","","02 5400564","1,029.85","135954","서울특별시 강남구 청담동 91-2번지 .13.14.(논현동164에서97.3.3 이전) ","서울특별시 강남구 도산대로 419 (청담동,.13.14.(논현동164에서97.3.3 이전))","","하드락","2006-10-17 00:00:00","I","2018-08-31 23:59:59.0","고고(디스코)클럽","203610.123149101    ","446848.654294053    ","고고(디스코)클럽","","","","","","","","","","","","","","N","1029.85","","",""
"3220000","3220000-102-1977-04399","19771025","","03","폐업","02","폐업","19941015","","","","0205401110","409.70","135811","서울특별시 강남구 논현동 1-0번지 ","","","신영동회관","2002-06-19 00:00:00","I","2018-08-31 23:59:59.0","카바레","201715.095225261    ","445959.466321945    ","카바레","0","0","유흥업소밀집지역","지도","상수도전용","","","","","","","","","N","409.7","","",""
"3220000","3220000-102-1977-18642","19771026","","03","폐업","02","폐업","20120914","","","","02","749.92","135545","서울특별시 강남구 논현동 200-7번지 ","서울특별시 강남구 강남대로 476 (논현동)","06120","동경","2004-02-18 00:00:00","I","2018-08-31 23:59:59.0","카바레","202121.293458771    ","444742.671288826    ","카바레","0","0","기타","기타","상수도전용","","","","","","","","","N","749.92","","",""
"3220000","3220000-102-1977-20329","19770513","","03","폐업","02","폐업","20170531","","","","02 511 9572","423.70","135825","서울특별시 강남구 논현동 164-1번지 ","서울특별시 강남구 강남대로 518 (논현동)","06114","텐프로10  노래25시","2017-05-31 09:56:18","I","2018-08-31 23:59:59.0","스텐드바","201971.35912276     ","445136.165168602    ","스텐드바","","","","","","","","","","","","","","N","423.7","","",""
"3220000","3220000-102-1978-04307","19781230","","03","폐업","02","폐업","20080424","","","","02 5667144","364.15","135912","서울특별시 강남구 역삼동 649-7번지 ","","","로그인","2007-09-07 15:05:10","I","2018-08-31 23:59:59.0","룸살롱","202593.633081487    ","444143.889122801    ","룸살롱","","","","","","","","","","","","","","N","364.15","","",""
"3220000","3220000-102-1978-04333","19781220","","03","폐업","02","폐업","19970722","","","","0200000000","188.43","135951","서울특별시 강남구 청담동 41-3번지 ","","","영동","2001-08-02 00:00:00","I","2018-08-31 23:59:59.0","룸살롱","203620.787213228    ","446173.509712288    ","룸살롱","0","0","유흥업소밀집지역","지도","상수도전용","","","","","","","","","N","188.43","","",""
