"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3220000","3220000-102-1976-04321","19760110","","01","영업/정상","01","영업","","","","","02 5425110","222.59","135887","서울특별시 강남구 신사동 514-15번지 ","서울특별시 강남구 도산대로 123 (신사동)","06035","준코뮤직타운 신사점","2018-04-12 10:35:29","I","2018-08-31 23:59:59.0","카바레","201864.398628378    ","446138.700257806    ","카바레","","","","","","","","","","","","","","N","222.59","","",""
"3220000","3220000-102-1982-04306","1982-06-10","","01","영업/정상","01","영업","","","","","02 5445188","430.00","135-831","서울특별시 강남구 논현동 237-5","서울특별시 강남구 언주로 605 (논현동)","06109","웸블리","2023-04-21 14:24:28","U","2022-12-03 22:03:00.0","룸살롱","203219.16612821","445239.405224044","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-102-1982-04372","19820209","","01","영업/정상","01","영업","","","","","0205673397","1,747.67","135907","서울특별시 강남구 역삼동 604-11 ","서울특별시 강남구 봉은사로 150 (역삼동)","06125","주식회사 달리는토끼","2021-11-05 13:05:53","U","2021-11-07 02:40:00.0","관광호텔나이트(카바레)","202699.226067088    ","444846.764226016    ","관광호텔나이트(카바레)","0","0","","","","0","0","0","0","0","","0","0","N","1747.67","","",""
"3220000","3220000-102-1983-04324","19830430","","01","영업/정상","01","영업","","","","","02  5476082","987.00","135868","서울특별시 강남구 삼성동 45-10 지상1~2층","서울특별시 강남구 봉은사로 459, 지상1~2층 (삼성동)","06096","피터팬","2022-09-20 15:06:20","U","2021-12-08 22:02:00.0","룸살롱","204324.263443033","445580.187539001","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-102-1983-04349","19830730","","01","영업/정상","01","영업","","","","","02  516 0407","285.97","135830","서울특별시 강남구 논현동 242-53번지 가헌빌딩 ","서울특별시 강남구 선릉로 659, 가헌빌딩 지하1층 (논현동)","06099","봄","2018-05-16 12:35:14","I","2018-08-31 23:59:59.0","룸살롱","203609.924951285    ","445913.690821398    ","룸살롱","","","","","","","","","","","","","","Y","285.97","","",""
"3220000","3220000-102-1984-04272","1984-07-14","","01","영업/정상","01","영업","","","","","02 5687207","518.00","135-080","서울특별시 강남구 역삼동 702-16 ,17","서울특별시 강남구 테헤란로47길 8 (역삼동,,17)","06151","에프원","2023-11-23 16:12:06","U","2022-10-31 22:05:00.0","룸살롱","203950.125855442","444674.7981589","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-102-1984-04298","1984-02-11","","01","영업/정상","01","영업","","","","","02 5662379","504.14","135-936","서울특별시 강남구 역삼동 831-42 .43호","서울특별시 강남구 역삼로 113 (역삼동,.43호)","06242","레이스","2023-02-14 10:33:42","U","2022-12-01 23:06:00.0","룸살롱","202700.53624861","443520.409792698","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-102-1985-04276","1985-03-19","","01","영업/정상","01","영업","","","","","02  545 5515","250.63","135-936","서울특별시 강남구 역삼동 831-42 .43","서울특별시 강남구 역삼로 113 (역삼동,.43)","06242","트렌드","2023-10-31 15:11:28","U","2022-11-01 00:02:00.0","카바레","202700.53624861","443520.409792698","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-102-1985-04282","19851129","","01","영업/정상","01","영업","","","","","02  5218216","197.50","135868","서울특별시 강남구 삼성동 44-18번지 ","서울특별시 강남구 봉은사로 451 (삼성동)","06097","에이플러스","2019-07-17 16:07:35","U","2019-07-19 02:40:00.0","룸살롱","204264.490173752    ","445536.561423052    ","룸살롱","","","","","","","","","","","","","","N","197.5","","",""
"3220000","3220000-102-1985-20007","19850422","","01","영업/정상","01","영업","","","","","","348.39","135936","서울특별시 강남구 역삼동 831-47번지 ","서울특별시 강남구 역삼로3길 11 (역삼동)","06242","세븐(SEVEN)","2020-01-30 14:13:01","U","2020-02-01 02:40:00.0","룸살롱","202654.560148482    ","443543.940479792    ","룸살롱","","","","","","","","","","","","","","N","348.39","","",""
